"entry_id","comments","score"
"41064","a:1:{s:8:""comment4"";a:2:{i:0;s:221:""We have made strides to improve our relationships with other departments 
We have optimised our processes and systems, and are working towards overhauling our inefficient SharePoint setup
Produced 13 CPD in Q1 of 2024
"";i:1;s:324:""Be more embracing of new systems (e.g. Asana both within the team and in management)
Increasing connections between the teams within L&amp;D would increase the quality of the product produced as there would be fewer errors and general grievances due to increased communications (errors are identified and resolved quicker)."";}}","52.500"
"41063","a:1:{s:8:""comment4"";a:2:{i:0;s:356:""Firstly, the staff Christmas party was a delightful experience. It was wonderful to see colleagues come together to celebrate the holiday season, share laughter, and create lasting memories. Additionally, taking on new projects was a highlight of the year. These projects offered exciting challenges and opportunities for personal and professional growth. "";i:1;s:207:""Employee Well-being: Prioritising the well-being of employees. 
Professional Development: Investing in the professional growth and development of employees through training programs, m opportunities etc. 
"";}}","73.500"
"41061","a:1:{s:8:""comment4"";a:2:{i:0;s:0:"""";i:1;s:0:"""";}}","34.820"
"41059","a:1:{s:8:""comment4"";a:2:{i:0;s:0:"""";i:1;s:0:"""";}}","56.550"
"41058","a:1:{s:8:""comment4"";a:2:{i:0;s:0:"""";i:1;s:0:"""";}}","12.680"
"41054","a:1:{s:8:""comment4"";a:2:{i:0;s:82:""Successful delivery of IT projects that were planned at the beginning of year 2023"";i:1;s:0:"""";}}","96.000"
"41053","a:1:{s:8:""comment4"";a:2:{i:0;s:0:"""";i:1;s:0:"""";}}","77.530"
"41052","a:1:{s:8:""comment4"";a:2:{i:0;s:180:""Encouraging ideas, keeping good work ethics within the team, caring for each other the way people do at BCS, it is incredibly rare in an organisation, yet has the highest impacts. "";i:1;s:34:""Progression and promotion routes. "";}}","75.150"
"41051","a:1:{s:8:""comment4"";a:2:{i:0;s:0:"""";i:1;s:0:"""";}}","76.720"
"41050","a:1:{s:8:""comment4"";a:2:{i:0;s:0:"""";i:1;s:0:"""";}}","68.800"
"41048","a:1:{s:8:""comment4"";a:2:{i:0;s:0:"""";i:1;s:0:"""";}}","64.000"
"41047","a:1:{s:8:""comment4"";a:2:{i:0;s:150:""Lots of work - never a dull moment! I'm fortunate enough to be a part of a very supportive, creative and enthusiastic team, led by strong management. "";i:1;s:75:""Better communication and support between departments would be great to see."";}}","100.000"
"41046","a:1:{s:8:""comment4"";a:2:{i:0;s:0:"""";i:1;s:0:"""";}}","96.000"
"41045","a:1:{s:8:""comment4"";a:2:{i:0;s:0:"""";i:1;s:0:"""";}}","50.400"
"41044","a:1:{s:8:""comment4"";a:2:{i:0;s:0:"""";i:1;s:0:"""";}}","67.410"
"41043","a:1:{s:8:""comment4"";a:2:{i:0;s:0:"""";i:1;s:0:"""";}}","63.360"
"41042","a:1:{s:8:""comment4"";a:2:{i:0;s:111:""We are becoming more influential and relevant, more people want to get involved and find ways to work with BCS."";i:1;s:128:""Greater pay off, our increased influence and activity needs to materialise into more tangible value - not necessarily financial."";}}","62.630"
"41041","a:1:{s:8:""comment4"";a:2:{i:0;s:0:"""";i:1;s:0:"""";}}","91.000"
"41039","a:1:{s:8:""comment4"";a:2:{i:0;s:88:""I  have worked in an exciting new area and I have enjoyed this professional development "";i:1;s:313:""Give financial and promotional rewards to staff who have gone the extra mile with clear timelines for action to be taken. It's not enough to say that there will be a reward 'at some point.'  This should be baked into annual reviews with clear targets set, and when these targets are met there should a reward.    "";}}","56.230"
"41038","a:1:{s:8:""comment4"";a:2:{i:0;s:292:""Over the past 12 months, I have really enjoyed getting to know everyone at BCS, attending BCS work events like connect and reconect. I've also really enjoyed that I have had the opportunity to grow and develop my skills by having CPD days and attending other events that contribute to my CPD."";i:1;s:0:"""";}}","100.000"
"41036","a:1:{s:8:""comment4"";a:2:{i:0;s:0:"""";i:1;s:0:"""";}}","90.730"
"41034","a:1:{s:8:""comment4"";a:2:{i:0;s:0:"""";i:1;s:237:""Review the reality of the hours worked  the product development team. Many team members are working 50%+ over their contracted hours each week to complete their allocated workload. Morale is frighteningly low, burnout is incredibly high."";}}","11.750"
"41032","a:1:{s:8:""comment4"";a:2:{i:0;s:97:""Membership volume growth; clearer business plan; alignment around goals; mutual colleague support"";i:1;s:160:""Develop and strengthen our brand positioning. Review resourcing across the business and reapportion to ensure customer facing / growth areas have enough support"";}}","100.000"
"41030","a:1:{s:8:""comment4"";a:2:{i:0;s:260:""I've gained a project management qualification. I've had the privilege of leading and supporting a team of instructional designers. I have absolutely loved this role, the challenges, learning points and opportunities to see people strive towards a common goal."";i:1;s:0:"""";}}","14.940"
"41027","a:1:{s:8:""comment4"";a:2:{i:0;s:0:"""";i:1;s:0:"""";}}","99.800"
"41026","a:1:{s:8:""comment4"";a:2:{i:0;s:35:""Moved at pace on new opportunities."";i:1;s:35:""Celebrate, celebrate and celebrate."";}}","97.000"
"41025","a:1:{s:8:""comment4"";a:2:{i:0;s:154:""I really enjoyed the team away day in October and chances to meet with the whole team at F2F meetings - or online if the situation at the time demands it."";i:1;s:167:""It would be useful to know what has changed when there are updates to systems eg MS Teams
Better soundproofing of the Atari meeting room
Warmer toilets in the winter"";}}","89.000"
"41024","a:1:{s:8:""comment4"";a:0:{}}","76.700"
"41023","a:1:{s:8:""comment4"";a:2:{i:0;s:219:""pay by instalments delivered successfully despite its complexity
Run the Business workload management is a huge step in the right direction
architecture group forming is a great opportunity for BCS joined-up thinking."";i:1;s:260:""I am concerned with our exec team, where I feel they may not be functioning as a team and are forcing BCS towards isolationist ways of working.

I feel they need to do better to settle differences and establish clear priorities together for a better roadmap."";}}","4.500"
"41022","a:1:{s:8:""comment4"";a:2:{i:0;s:0:"""";i:1;s:0:"""";}}","94.530"
"41021","a:1:{s:8:""comment4"";a:2:{i:0;s:59:""Change Planning team and all that we have achieved together"";i:1;s:227:""Improve the levels of trust and respect within the organisation at a senior level 
Be more open to doing things differently and accepting of changing again if it doesn't work
Be realistic as to what can be delivered and when "";}}","38.500"
"41019","a:1:{s:8:""comment4"";a:2:{i:0;s:0:"""";i:1;s:0:"""";}}","48.380"
"41012","a:1:{s:8:""comment4"";a:0:{}}","14.140"
"41011","a:1:{s:8:""comment4"";a:2:{i:0;s:0:"""";i:1;s:0:"""";}}","60.000"
"41010","a:1:{s:8:""comment4"";a:2:{i:0;s:222:""The Christmas party was a triumph.  It bought everyone together and that's how it should be in the office.  BCS should be striving for that feeling that we are all in this together but it doesn't feel like that day to day."";i:1;s:65:""More cohesion.  More support and communication from the top down."";}}","39.950"
"41002","a:1:{s:8:""comment4"";a:2:{i:0;s:71:""Increasing BCS Brand image and reputation
Grwoth in key business lines"";i:1;s:34:""Find ways to accellerate our plans"";}}","98.000"
"41001","a:1:{s:8:""comment4"";a:2:{i:0;s:0:"""";i:1;s:0:"""";}}","78.300"
"40999","a:1:{s:8:""comment4"";a:2:{i:0;s:0:"""";i:1;s:0:"""";}}","65.250"
"40998","a:1:{s:8:""comment4"";a:2:{i:0;s:0:"""";i:1;s:0:"""";}}","61.480"
"40994","a:1:{s:8:""comment4"";a:2:{i:0;s:0:"""";i:1;s:0:"""";}}","77.800"
"40993","a:1:{s:8:""comment4"";a:2:{i:0;s:0:"""";i:1;s:0:"""";}}","82.450"
"40992","a:1:{s:8:""comment4"";a:2:{i:0;s:0:"""";i:1;s:0:"""";}}","94.000"
"40991","a:1:{s:8:""comment4"";a:2:{i:0;s:107:""Opportunities for promotion and manager actively seeking these for me 
Opportunity to do paid CPD courses "";i:1;s:101:""More budget for larger and more ambitious projects that will bring something new to the organisation "";}}","79.420"
"40990","a:1:{s:8:""comment4"";a:2:{i:0;s:0:"""";i:1;s:0:"""";}}","100.000"
"40989","a:1:{s:8:""comment4"";a:2:{i:0;s:0:"""";i:1;s:0:"""";}}","89.300"
"40988","a:1:{s:8:""comment4"";a:2:{i:0;s:0:"""";i:1;s:0:"""";}}","98.000"
"40987","a:1:{s:8:""comment4"";a:2:{i:0;s:0:"""";i:1;s:0:"""";}}","99.800"
"40986","a:1:{s:8:""comment4"";a:2:{i:0;s:0:"""";i:1;s:0:"""";}}","98.500"
"40985","a:1:{s:8:""comment4"";a:2:{i:0;s:0:"""";i:1;s:73:""Staff are asked for their opinions but these often seem to be overlooked."";}}","81.000"
"40984","a:1:{s:8:""comment4"";a:2:{i:0;s:49:""Bonuses and paid rises 
Keeping hybrid working
"";i:1;s:0:"""";}}","74.000"
"40979","a:1:{s:8:""comment4"";a:2:{i:0;s:0:"""";i:1;s:0:"""";}}","98.000"
"40978","a:1:{s:8:""comment4"";a:2:{i:0;s:115:""Action taken to improve processes and teams recruited to support customers. Colleagues jump to support where needed"";i:1;s:0:"""";}}","94.400"
"40976","a:1:{s:8:""comment4"";a:2:{i:0;s:0:"""";i:1;s:0:"""";}}","79.120"
"40973","a:1:{s:8:""comment4"";a:2:{i:0;s:28:""Company growth and full team"";i:1;s:33:""Start implementing good decisions"";}}","63.450"
"40972","a:1:{s:8:""comment4"";a:2:{i:0;s:0:"""";i:1;s:0:"""";}}","92.500"
"40968","a:1:{s:8:""comment4"";a:2:{i:0;s:0:"""";i:1;s:0:"""";}}","78.590"
"40967","a:1:{s:8:""comment4"";a:2:{i:0;s:146:""What specifically? That's quite an open question so it's difficult to know what to say. Lots of things went well - financially and for customers. "";i:1;s:65:""What can we make better? Does this relate to a previous question?"";}}","26.250"
"40966","a:1:{s:8:""comment4"";a:2:{i:0;s:238:""Establishment of our central Change Team. Collaboration, processes and working practices across the team continues to improve. Team work is good, it is challenging but we are working in an honest, respectful environment within that team. "";i:1;s:1401:""There is a lot that needs to be fixed. There should be a full Group-wide plan to address the dysfunction and deep rooted issues holding this organisation back - dysfunction and issues that are seriously impacting people on a personal level (myself included) and that hinder current and potential performance (both for the organisation and for individuals). Trust each other, or at the very least work together to build trust where it is broken. Work together to make things better, rather than fighting or working against each other. Treat each other as human beings, with respect and curtesy. Create a safe space for our people to operate in, it is NOT a safe space at the moment. Collaborate, communicate, work as a team instead of in &quot;camps&quot; or &quot;sides&quot;. Have a clear strategy for the Group, not separate by entity. Have a clear business plan for the Group, not separate by entity. Have a clear delivery and strategic resource plan for the Group, not separate by entity. Focus resources accordingly, based on that strategy and plan and ensuring those things are the right things through a cost/benefit lens. Look at the design and structure of our organisation - does it fit with what we need and want to achieve? Or do we need to change? 1. People/behaviours, 2. process and 3. technology/systems - the latter 2 won't work effectively without the first one functioning well....."";}}","18.350"
"40965","a:1:{s:8:""comment4"";a:2:{i:0;s:0:"""";i:1;s:0:"""";}}","23.000"
"40964","a:1:{s:8:""comment4"";a:2:{i:0;s:0:"""";i:1;s:0:"""";}}","97.500"
"40963","a:1:{s:8:""comment4"";a:2:{i:0;s:0:"""";i:1;s:0:"""";}}","88.730"
"40962","a:1:{s:8:""comment4"";a:2:{i:0;s:0:"""";i:1;s:0:"""";}}","42.250"
"40960","a:1:{s:8:""comment4"";a:2:{i:0;s:34:""Good communication and team morale"";i:1;s:17:""sharing knowledge"";}}","98.000"
"40958","a:1:{s:8:""comment4"";a:2:{i:0;s:0:"""";i:1;s:0:"""";}}","40.880"
"40956","a:1:{s:8:""comment4"";a:2:{i:0;s:0:"""";i:1;s:0:"""";}}","94.700"
"40954","a:1:{s:8:""comment4"";a:2:{i:0;s:0:"""";i:1;s:0:"""";}}","17.600"
"40953","a:1:{s:8:""comment4"";a:2:{i:0;s:128:""Increase in media coverage to a wide range of outlets - plus increase in number of outlets approaching BCS for comment/articles."";i:1;s:102:""Continue doing more of the same - could be improved by having more people in the team to achieve this."";}}","96.000"
"40951","a:1:{s:8:""comment4"";a:0:{}}","45.500"
"40950","a:1:{s:8:""comment4"";a:2:{i:0;s:0:"""";i:1;s:0:"""";}}","99.500"
"40946","a:1:{s:8:""comment4"";a:2:{i:0;s:0:"""";i:1;s:0:"""";}}","100.000"
"40944","a:1:{s:8:""comment4"";a:2:{i:0;s:134:""We got some normality back to our working day by being able to socialise within the office again, which is good for our mental health."";i:1;s:0:"""";}}","95.500"
"40942","a:1:{s:8:""comment4"";a:2:{i:0;s:34:""Normal working routine after Covid"";i:1;s:0:"""";}}","42.250"
"40941","a:1:{s:8:""comment4"";a:2:{i:0;s:0:"""";i:1;s:0:"""";}}","100.000"
"40940","a:1:{s:8:""comment4"";a:2:{i:0;s:140:""After having returned to the business from maternity leave I have felt very supported by my manager and the business in my transition back. "";i:1;s:0:"""";}}","68.400"
"40939","a:1:{s:8:""comment4"";a:2:{i:0;s:22:""Training and new staff"";i:1;s:40:""Just keep doing what your already doing "";}}","100.000"
"40938","a:1:{s:8:""comment4"";a:2:{i:0;s:0:"""";i:1;s:0:"""";}}","85.000"
"40937","a:1:{s:8:""comment4"";a:2:{i:0;s:0:"""";i:1;s:0:"""";}}","35.400"
"40935","a:1:{s:8:""comment4"";a:2:{i:0;s:0:"""";i:1;s:0:"""";}}","100.000"
"40934","a:1:{s:8:""comment4"";a:2:{i:0;s:89:""New signs in the office are very effective.
New change process seems a good direction.
"";i:1;s:0:"""";}}","41.650"
"40933","a:1:{s:8:""comment4"";a:2:{i:0;s:28:""we accomplished our targets "";i:1;s:28:""just keep doing the doing 
"";}}","85.500"
"40932","a:1:{s:8:""comment4"";a:2:{i:0;s:0:"""";i:1;s:0:"""";}}","45.000"
"40931","a:1:{s:8:""comment4"";a:2:{i:0;s:55:""Continuing to develop and improve systems and processes"";i:1;s:34:""Managing workload more effectively"";}}","93.000"
"40930","a:1:{s:8:""comment4"";a:2:{i:0;s:3:""N/A"";i:1;s:3:""N/A"";}}","52.040"
"40929","a:1:{s:8:""comment4"";a:2:{i:0;s:35:""Lots of exciting marketing projects"";i:1;s:77:""Bring the department closer together, share what the differnt teams are up to"";}}","94.800"
"40928","a:1:{s:8:""comment4"";a:2:{i:0;s:23:""Looking after all staff"";i:1;s:17:""Continue as above"";}}","93.000"
"40925","a:1:{s:8:""comment4"";a:2:{i:0;s:96:""New ways of working, more cross-working within the team, new processes and lots of new projects!"";i:1;s:43:""Within our team, keep going the way we are."";}}","77.430"
"40924","a:1:{s:8:""comment4"";a:2:{i:0;s:118:""Support and understanding through hospitalisation and illness
Learning new skills and knowledge to help me in my role"";i:1;s:7:""unknown"";}}","95.300"
"40923","a:1:{s:8:""comment4"";a:2:{i:0;s:210:""The staff meetings have become a lot more meaningful, and the xmas party was brilliant :)
Also lots of stuff internally, i.e brekkies, quizzes etc, make staff feel valued.  Benefits package pretty good also :)"";i:1;s:46:""Dont know, I think BCS do a great job already "";}}","89.400"
"40921","a:1:{s:8:""comment4"";a:2:{i:0;s:141:""For our team, keeping within SLAs &amp; training. 
WFH going very well and the team are very productive and happy with this way of working. "";i:1;s:145:""Continue the WFH as this has a positive effect on staff who are able to have a good work/home life balance and still do a good job in their role."";}}","100.000"
"40920","a:1:{s:8:""comment4"";a:2:{i:0;s:0:"""";i:1;s:186:""be braver in our endeavour to make things better and less focussed on the past. At the same time not forgetting we are a charity with a cause and purpose that should always be adhered to"";}}","96.810"
"40919","a:1:{s:8:""comment4"";a:2:{i:0;s:44:""Managerial and colleague support and rapport"";i:1;s:1:"" "";}}","71.500"
"40918","a:1:{s:8:""comment4"";a:2:{i:0;s:0:"""";i:1;s:0:"""";}}","65.420"
"40916","a:1:{s:8:""comment4"";a:2:{i:0;s:94:""Lots of interesting challenges and some pretty good personal/professional milestones achieved!"";i:1;s:0:"""";}}","74.680"
"40914","a:1:{s:8:""comment4"";a:2:{i:0;s:0:"""";i:1;s:0:"""";}}","47.460"
"40913","a:1:{s:8:""comment4"";a:2:{i:0;s:0:"""";i:1;s:0:"""";}}","98.000"
"40912","a:1:{s:8:""comment4"";a:2:{i:0;s:0:"""";i:1;s:0:"""";}}","21.960"
"40911","a:1:{s:8:""comment4"";a:2:{i:0;s:83:""We went live with very many projects and Monthly Subs for members being a highlight"";i:1;s:89:""Dont do so many projects and take our time to do the ones we have so they are successful "";}}","90.500"
"40910","a:1:{s:8:""comment4"";a:2:{i:0;s:0:"""";i:1;s:0:"""";}}","96.000"
"40909","a:1:{s:8:""comment4"";a:2:{i:0;s:0:"""";i:1;s:0:"""";}}","63.900"
"40908","a:1:{s:8:""comment4"";a:2:{i:0;s:30:""general brand team performance"";i:1;s:0:"""";}}","89.800"
"40907","a:1:{s:8:""comment4"";a:2:{i:0;s:0:"""";i:1;s:0:"""";}}","100.000"
"40906","a:1:{s:8:""comment4"";a:2:{i:0;s:0:"""";i:1;s:0:"""";}}","19.210"
"40904","a:1:{s:8:""comment4"";a:2:{i:0;s:0:"""";i:1;s:0:"""";}}","89.800"
"40903","a:1:{s:8:""comment4"";a:2:{i:0;s:0:"""";i:1;s:0:"""";}}","80.100"
"40901","a:1:{s:8:""comment4"";a:2:{i:0;s:0:"""";i:1;s:0:"""";}}","73.360"
"40900","a:1:{s:8:""comment4"";a:2:{i:0;s:0:"""";i:1;s:0:"""";}}","67.130"
"40899","a:1:{s:8:""comment4"";a:2:{i:0;s:33:""slight increase in opportunities "";i:1;s:50:""management training easily available and mandatory"";}}","15.960"
"40898","a:1:{s:8:""comment4"";a:2:{i:0;s:159:""Team grew in the last year
Only recently more opportunities to work on bigger projects
Being more vocal with feelings and slow progress / action towards this"";i:1;s:105:""Manager training as this would hopefully solve a lot of issues e.g. 1:1, career dev, feedback on work etc"";}}","14.550"
"40897","a:1:{s:8:""comment4"";a:2:{i:0;s:0:"""";i:1;s:0:"""";}}","100.000"
"40896","a:1:{s:8:""comment4"";a:2:{i:0;s:0:"""";i:1;s:0:"""";}}","67.600"
"40895","a:1:{s:8:""comment4"";a:2:{i:0;s:57:""As a team, we achieved a lot of work goals and targets 
"";i:1;s:0:"""";}}","83.600"
"40894","a:1:{s:8:""comment4"";a:2:{i:0;s:393:""Transformation, IT (Business Technology) and UX developed and implemented ways of working that are the most aligned they have ever been and are positive in the methods used and the outcomes being evidenced.

Our internal technology teams have, as always, implemented a significant amount of positive change in often challenging circumstances, mostly with heaps of positivity and good humour."";i:1;s:163:""Properly align as an organisation please...we still feel like three different businesses, each with their own objectives (this is understandable to an extent).

"";}}","63.330"
"40893","a:1:{s:8:""comment4"";a:2:{i:0;s:0:"""";i:1;s:0:"""";}}","40.300"
"40892","a:1:{s:8:""comment4"";a:2:{i:0;s:0:"""";i:1;s:0:"""";}}","49.780"
"40890","a:1:{s:8:""comment4"";a:2:{i:0;s:33:""Being taken on and then promoted."";i:1;s:323:""Looking at the real workload within the team and how this impacts on the delivery of targets and goals, giving us the right level of support, whether resource or systems. I would like to have time to review training and development not only for myself but for the team, maybe a day to complete a course a month for example."";}}","78.380"
"40889","a:1:{s:8:""comment4"";a:2:{i:0;s:71:""I have enjoyed working at BCS and feel the overall experience is good. "";i:1;s:14:""More listening"";}}","98.200"
"40888","a:1:{s:8:""comment4"";a:2:{i:0;s:0:"""";i:1;s:0:"""";}}","81.230"
"40887","a:1:{s:8:""comment4"";a:2:{i:0;s:14:""connect events"";i:1;s:3:""..."";}}","11.210"
"40886","a:1:{s:8:""comment4"";a:2:{i:0;s:56:""Improved relationships with other teams and departments."";i:1;s:0:"""";}}","59.610"
"40885","a:1:{s:8:""comment4"";a:2:{i:0;s:59:""My knowledge has grown , I know lots of different areas now"";i:1;s:103:""To make it worthwhile, be viewed as a capable and valuable member of staff,  not just taken for granted"";}}","20.100"
"40884","a:1:{s:8:""comment4"";a:2:{i:0;s:31:""Great to see more from our CEO."";i:1;s:149:""More transparency, for e.g. on GreenRoom if someone is leaving due to redundancy, put that. If someone has moved roles due to a promotion, put that. "";}}","23.750"
"40883","a:1:{s:8:""comment4"";a:2:{i:0;s:0:"""";i:1;s:0:"""";}}","42.250"
"40880","a:1:{s:8:""comment4"";a:2:{i:0;s:0:"""";i:1;s:0:"""";}}","93.900"
"40879","a:1:{s:8:""comment4"";a:2:{i:0;s:158:""As a new starter I have really enjoyed my first few months - have felt well supported, empowered in my role and can already see opportunities for progression "";i:1;s:150:""An even clearer progression pathway for my role would be great, but I know this isn't easy as our team changes all the time based on external funding "";}}","100.000"
"40877","a:1:{s:8:""comment4"";a:2:{i:0;s:41:""All the staff events such as Connect 2023"";i:1;s:23:""Better catering overall"";}}","84.360"
"40876","a:1:{s:8:""comment4"";a:2:{i:0;s:173:""The all staff meetings - the one in September was much better, more informative and much more comfortable. Cross skilling within our team to ensure cover and standardisation"";i:1;s:95:""Recruitment to be more timely, not to wait until someone leave to start to look to replace them"";}}","94.300"
"40874","a:1:{s:8:""comment4"";a:2:{i:0;s:0:"""";i:1;s:0:"""";}}","52.000"
"40873","a:1:{s:8:""comment4"";a:2:{i:0;s:0:"""";i:1;s:0:"""";}}","99.000"
"40871","a:1:{s:8:""comment4"";a:2:{i:0;s:26:""Recovery from COVID issues"";i:1;s:21:""Nothing comes to mind"";}}","83.690"
"40870","a:1:{s:8:""comment4"";a:2:{i:0;s:115:"" - Starting TEALS programme
 - Developing the pathways through the CAS website
 - Re-energising the CAS community"";i:1;s:174:"" - Taking more risks, engage in more initiatives
 - The BCS members corporate organisations taking a greater role in CAS programmes
 - More work around gender and computing"";}}","83.600"
"40868","a:1:{s:8:""comment4"";a:2:{i:0;s:56:""Customer satisfaction level improved and so did revenue."";i:1;s:119:""Customer focus and better engagement and visible leadership in the sector.
Continued staff engagement and development."";}}","86.400"
"40866","a:1:{s:8:""comment4"";a:2:{i:0;s:86:""I become more involved in my new role and was able to start putting new ideas forward."";i:1;s:66:""Being able to voice ideas and suggestions when starting a new role"";}}","43.000"
"40865","a:1:{s:8:""comment4"";a:2:{i:0;s:0:"""";i:1;s:174:""Have a clear strategy
Senior managers need to work together as a team and model our values 
Stop doing things without clear intentions
Take notice and listen to staff more"";}}","53.200"
"40864","a:1:{s:8:""comment4"";a:2:{i:0;s:0:"""";i:1;s:0:"""";}}","39.900"
"40863","a:1:{s:8:""comment4"";a:2:{i:0;s:50:""Provision grew and new standards are being offered"";i:1;s:123:""Allow staff the time to upskill or get the new standards under their belt so that they can better support the organisation."";}}","91.500"
"40862","a:1:{s:8:""comment4"";a:2:{i:0;s:0:"""";i:1;s:0:"""";}}","96.000"
"40861","a:1:{s:8:""comment4"";a:2:{i:0;s:107:""Delivering the CIO Network and the team pulling together to put on such great events has gone really well. "";i:1;s:276:""There are single individuals who are not working in a collaborative manner across teams ad projects. These people are stopping us from reaching business goals and improving things for both members and teams with no reason or ideas on how to achieve the result in another way. "";}}","44.200"
"40859","a:1:{s:8:""comment4"";a:2:{i:0;s:0:"""";i:1;s:0:"""";}}","40.430"
"40856","a:1:{s:8:""comment4"";a:2:{i:0;s:0:"""";i:1;s:0:"""";}}","45.500"
"40855","a:1:{s:8:""comment4"";a:2:{i:0;s:0:"""";i:1;s:0:"""";}}","47.650"
"40851","a:1:{s:8:""comment4"";a:2:{i:0;s:109:""Great increase in Membership numbers and increase in acting upon the resources/benefits available to members."";i:1;s:104:""Match the resources to the expectations of outcomes/deliverables, alternatively reduce the expectations."";}}","50.690"
"40849","a:1:{s:8:""comment4"";a:2:{i:0;s:0:"""";i:1;s:0:"""";}}","72.800"
"40848","a:1:{s:8:""comment4"";a:0:{}}","57.120"
"40847","a:1:{s:8:""comment4"";a:2:{i:0;s:26:""Increase in member volumes"";i:1;s:42:""Better integration with the wider business"";}}","95.500"
"40846","a:1:{s:8:""comment4"";a:2:{i:0;s:0:"""";i:1;s:0:"""";}}","54.410"
"40844","a:1:{s:8:""comment4"";a:2:{i:0;s:158:""I started within the last 12 months and so far, so good! Very happy to work for an organisation that recognises my potential and encourages me to aim higher. "";i:1;s:47:""Per the previous time this question was asked. "";}}","93.000"
"40843","a:1:{s:8:""comment4"";a:2:{i:0;s:0:"""";i:1;s:0:"""";}}","76.950"
"40841","a:1:{s:8:""comment4"";a:2:{i:0;s:0:"""";i:1;s:0:"""";}}","100.000"
"40840","a:1:{s:8:""comment4"";a:2:{i:0;s:0:"""";i:1;s:0:"""";}}","10.860"
"40838","a:1:{s:8:""comment4"";a:2:{i:0;s:0:"""";i:1;s:0:"""";}}","90.400"
"40837","a:1:{s:8:""comment4"";a:2:{i:0;s:17:""Recruiting me :-)"";i:1;s:31:""More EPAs and a larger EPA Team"";}}","81.000"
"40836","a:1:{s:8:""comment4"";a:2:{i:0;s:58:""The whole onboarding process from all departments involved"";i:1;s:0:"""";}}","92.000"
